Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-08-21T10:09:32.556Z","Included","auto","No","385","0","17344","389","18118","0.01"
"2025-08-21T10:08:15.993Z","Included","auto","No","537","0","16808","202","17547","0.01"
"2025-08-21T10:07:38.371Z","Included","auto","No","15969","0","840","450","17259","0.02"
"2025-08-21T09:37:14.838Z","Included","auto","No","15246","0","32942","3055","51243","0.04"
"2025-08-21T09:04:40.712Z","Included","auto","No","4417","0","73858","873","79148","0.03"
"2025-08-21T09:03:40.156Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-21T08:51:35.062Z","Included","auto","No","60004","0","459278","1567","520849","0.18"
"2025-08-21T08:50:26.335Z","Included","auto","No","8227","0","23395","418","32040","0.02"
"2025-08-21T00:51:44.152Z","Included","auto","No","24161","0","153232","2710","180103","0.07"
"2025-08-21T00:23:09.470Z","Included","auto","No","21939","0","674504","10801","707244","0.23"
"2025-08-21T00:17:28.611Z","Errored, Not Charged","auto","No","29225","0","3483","10000","42708","0.07"
"2025-08-20T22:53:50.977Z","Included","auto","No","5111","0","85280","1318","91709","0.03"
"2025-08-20T22:53:05.220Z","Included","auto","No","5284","0","150203","1434","156921","0.05"
"2025-08-20T22:38:32.270Z","Included","auto","No","29278","0","27935","2780","59993","0.05"
"2025-08-20T22:19:00.650Z","Included","auto","No","17493","0","30557","3296","51346","0.04"
"2025-08-20T20:45:53.771Z","Included","auto","No","58505","0","357880","1717","418102","0.15"
"2025-08-20T18:13:42.554Z","Included","auto","No","11332","0","74522","3494","89348","0.04"
"2025-08-20T18:11:41.893Z","Included","auto","No","409","0","35300","494","36203","0.01"
"2025-08-20T18:09:35.534Z","Errored, Not Charged","auto","No","1080","0","102958","754","104792","0.03"
"2025-08-20T18:07:03.511Z","Included","auto","No","24312","0","141185","1306","166803","0.06"
"2025-08-20T18:02:42.663Z","Included","auto","No","28625","0","159506","1601","189732","0.07"
"2025-08-20T16:02:01.630Z","Included","auto","No","582","0","75263","505","76350","0.02"
"2025-08-20T15:58:58.266Z","Included","auto","No","71764","0","3500","421","75685","0.07"
"2025-08-20T15:42:32.963Z","Included","auto","No","213","0","9511","289","10013","0.004"
"2025-08-20T15:41:08.380Z","Included","auto","No","20","0","9492","174","9686","0.003"
"2025-08-20T15:37:30.417Z","Included","auto","No","540","0","73905","422","74867","0.02"
"2025-08-20T15:36:47.676Z","Included","auto","No","663","0","73243","436","74342","0.02"
"2025-08-20T15:33:57.488Z","Included","auto","No","66239","0","128632","1419","196290","0.10"
"2025-08-20T15:27:49.397Z","Included","auto","No","430","0","28715","263","29408","0.01"
"2025-08-20T15:26:12.156Z","Included","auto","No","15445","0","43224","499","59168","0.03"
"2025-08-20T15:25:27.856Z","Errored, Not Charged","auto","No","12543","0","17060","155","29758","0.02"
"2025-08-20T15:25:09.034Z","Errored, Not Charged","auto","No","8034","0","52646","310","60990","0.02"
"2025-08-19T15:29:17.882Z","Included","auto","No","71072","0","71408","2691","145171","0.10"
"2025-08-19T14:55:03.351Z","Errored, Not Charged","auto","No","68135","0","78417","85","146637","0.09"
"2025-08-19T11:56:12.577Z","Errored, Not Charged","auto","No","64552","0","6818","34","71404","0.07"
"2025-08-19T11:55:23.515Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-19T11:55:08.254Z","Included","auto","No","433","0","136537","58","137028","0.03"
"2025-08-19T11:54:56.188Z","Included","auto","No","158","0","67982","118","68258","0.02"
"2025-08-19T11:53:19.795Z","Included","auto","No","464","0","203066","81","203611","0.05"
"2025-08-19T11:49:13.279Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-19T11:48:48.719Z","Included","auto","No","820","0","133173","77","134070","0.03"
"2025-08-19T11:48:37.164Z","Included","auto","No","559","0","132289","49","132897","0.03"
"2025-08-19T11:48:12.845Z","Errored, Not Charged","auto","No","61895","0","62188","133","124216","0.08"
"2025-08-19T11:22:15.303Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-19T11:22:01.284Z","Included","auto","No","55409","0","62197","90","117696","0.07"
"2025-08-19T10:58:22.632Z","Included","auto","No","61033","0","319703","1980","382716","0.15"
"2025-08-19T10:45:43.855Z","Included","auto","No","496","0","80743","320","81559","0.02"
"2025-08-19T10:44:21.546Z","Included","auto","No","110","0","80634","388","81132","0.02"
"2025-08-19T10:43:52.511Z","Included","auto","No","586","0","80158","393","81137","0.02"
"2025-08-19T10:40:49.233Z","Included","auto","No","530","0","79629","369","80528","0.02"
"2025-08-19T10:40:03.788Z","Included","auto","No","402","0","79228","419","80049","0.02"
"2025-08-19T10:38:47.760Z","Included","auto","No","602","0","78627","282","79511","0.02"
"2025-08-19T10:36:30.902Z","Included","auto","No","18654","0","248137","661","267452","0.08"
"2025-08-19T10:35:03.193Z","Included","auto","No","58627","0","126985","123","185735","0.09"
"2025-08-19T10:34:50.647Z","Errored, Not Charged","auto","No","1503","0","176940","163","178606","0.05"
"2025-08-19T10:34:09.206Z","Included","auto","No","1752","0","296687","421","298860","0.08"
"2025-08-19T10:33:32.874Z","Errored, Not Charged","auto","No","8119","0","485031","437","493587","0.13"
"2025-08-19T10:32:03.907Z","Included","auto","No","55503","0","3500","467","59470","0.06"
"2025-08-19T09:58:26.181Z","Included","auto","No","19678","0","984574","2214","1006466","0.27"
"2025-08-19T09:54:24.976Z","Included","auto","No","5495","0","1461665","2400","1469560","0.38"
"2025-08-19T09:53:41.402Z","Included","auto","No","10082","0","91296","618","101996","0.04"
"2025-08-19T09:45:55.019Z","Included","auto","No","5442","0","799477","2085","807004","0.21"
"2025-08-19T09:45:00.131Z","Included","auto","No","478","0","85386","640","86504","0.02"
"2025-08-19T09:43:26.928Z","Included","auto","No","527","0","84860","354","85741","0.02"
"2025-08-19T09:38:55.536Z","Included","auto","No","552","0","84309","344","85205","0.02"
"2025-08-19T09:38:00.430Z","Included","auto","No","12326","0","451192","562","464080","0.13"
"2025-08-19T09:36:48.303Z","Included","auto","No","1287","0","213423","345","215055","0.06"
"2025-08-19T09:33:34.906Z","Included","auto","No","449","0","70257","324","71030","0.02"
"2025-08-19T09:32:41.554Z","Included","auto","No","3058","0","135000","393","138451","0.04"
"2025-08-19T09:29:28.457Z","Included","auto","No","4258","0","62944","420","67622","0.02"
"2025-08-19T09:18:58.621Z","Included","auto","No","458","0","62487","290","63235","0.02"
"2025-08-19T09:13:39.999Z","Included","auto","No","1710","0","60778","265","62753","0.02"
"2025-08-19T09:11:30.535Z","Included","auto","No","57286","0","424414","553","482253","0.17"
"2025-08-19T09:07:00.288Z","Included","auto","No","0","1119","0","620","1739","0.01"
"2025-08-19T09:03:17.239Z","Included","auto","No","0","1039","0","426","1465","0.01"
"2025-08-19T08:53:39.922Z","Included","auto","No","45898","0","1525701","3808","1575407","0.44"
"2025-08-19T08:48:29.454Z","Included","auto","No","808","0","105635","611","107054","0.03"
"2025-08-19T08:46:57.868Z","Included","auto","No","978","0","104658","659","106295","0.03"
"2025-08-19T08:44:22.478Z","Included","auto","No","872","0","103787","763","105422","0.03"
"2025-08-19T08:41:40.236Z","Included","auto","No","30246","0","514998","2427","547671","0.17"
"2025-08-19T08:40:28.505Z","Included","auto","No","99375","0","273941","992","374308","0.17"
"2025-08-19T08:40:00.992Z","Errored, Not Charged","auto","No","374","0","156896","115","157385","0.04"
"2025-08-19T08:39:24.250Z","Errored, Not Charged","auto","No","118","0","72427","75","72620","0.02"
"2025-08-19T08:33:28.708Z","Errored, Not Charged","auto","No","10662","0","181051","188","191901","0.06"
"2025-08-19T08:32:46.581Z","Included","auto","No","646","0","57397","461","58504","0.02"
"2025-08-19T08:31:14.965Z","Included","auto","No","640","0","56758","475","57873","0.02"
"2025-08-19T08:29:37.125Z","Included","auto","No","54482","0","2277","603","57362","0.06"
"2025-08-19T08:24:55.951Z","Included","auto","No","74","0","58938","735","59747","0.02"
"2025-08-19T08:23:33.758Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-19T08:17:52.557Z","Included","auto","No","72208","0","639156","907","712271","0.24"
"2025-08-19T07:59:08.209Z","Included","auto","No","55626","0","62419","57","118102","0.07"
"2025-08-18T19:30:49.932Z","Included","auto","No","57580","0","422978","672","481230","0.17"
"2025-08-15T19:58:45.841Z","Included","auto","No","6847","0","861445","925","869217","0.23"
"2025-08-15T19:57:15.275Z","Included","auto","No","2662","0","664253","670","667585","0.17"
"2025-08-15T19:55:14.712Z","Included","auto","No","0","640","0","18","658","0.001"
"2025-08-15T19:53:35.455Z","Included","auto","No","10806","0","683429","839","695074","0.19"
"2025-08-15T19:52:47.674Z","Included","auto","No","271","0","61476","299","62046","0.02"
"2025-08-15T19:51:55.099Z","Included","auto","No","243","0","61234","220","61697","0.02"
"2025-08-15T19:50:07.772Z","Included","auto","No","414","0","60821","213","61448","0.02"
"2025-08-15T19:48:47.445Z","Included","auto","No","493","0","60329","281","61103","0.02"
"2025-08-15T19:44:41.027Z","Included","auto","No","1474","0","58856","277","60607","0.02"
"2025-08-15T19:43:08.719Z","Included","auto","No","56338","0","3500","457","60295","0.06"
"2025-08-15T18:05:09.337Z","Included","auto","No","2359","0","66579","526","69464","0.02"
"2025-08-15T18:03:45.170Z","Included","auto","No","657","0","65923","473","67053","0.02"
"2025-08-15T18:03:07.836Z","Included","auto","No","2270","0","63654","297","66221","0.02"
"2025-08-15T18:02:48.594Z","Included","auto","No","0","1509","0","292","1801","0.01"
"2025-08-15T18:01:19.532Z","Included","auto","No","611","0","63044","410","64065","0.02"
"2025-08-15T18:00:32.539Z","Included","auto","No","59276","0","3769","341","63386","0.06"
"2025-08-15T17:59:44.899Z","Included","auto","No","0","1440","0","141","1581","0.004"
"2025-08-15T17:59:31.537Z","Included","auto","No","0","1416","0","139","1555","0.004"
"2025-08-15T17:59:21.139Z","Included","auto","No","0","1233","0","25","1258","0.003"
"2025-08-15T16:05:52.014Z","Included","auto","No","25360","2548","1795125","4514","1827547","0.49"
"2025-08-15T16:02:36.961Z","Included","auto","No","33808","0","1270427","3915","1308150","0.37"
"2025-08-15T15:56:25.995Z","Included","auto","No","25129","0","2773319","3407","2801855","0.73"
"2025-08-15T15:51:42.822Z","Included","auto","No","75315","0","1137150","6602","1219067","0.39"
"2025-08-15T10:18:44.488Z","Included","auto","No","9442","0","147676","3141","160259","0.06"
"2025-08-15T10:15:04.783Z","Included","auto","No","68735","0","72832","2537","144104","0.10"
"2025-08-15T10:13:07.730Z","Included","auto","No","0","730","0","23","753","0.002"
"2025-08-15T10:08:09.257Z","Included","auto","No","5206","0","123142","3021","131369","0.05"
"2025-08-15T10:07:20.389Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-15T10:00:21.576Z","Included","auto","No","2483","0","740174","956","743613","0.19"
"2025-08-15T09:58:01.269Z","Included","auto","No","4415","0","1203253","1361","1209029","0.31"
"2025-08-15T09:56:23.750Z","Errored, Not Charged","auto","No","12558","0","697063","886","710507","0.19"
"2025-08-15T09:55:22.035Z","Errored, Not Charged","auto","No","108588","0","767184","461","876233","0.30"
"2025-08-15T09:39:58.213Z","Included","auto","No","9786","0","118014","1488","129288","0.05"
"2025-08-15T09:31:05.285Z","Included","auto","No","82237","0","258986","903","342126","0.15"
"2025-08-15T09:28:56.735Z","Included","auto","No","80566","154407","251320","7182","493475","0.19"
"2025-08-15T09:11:44.905Z","Included","auto","No","114908","0","1953980","1963","2070851","0.61"
"2025-08-14T23:27:50.980Z","Included","auto","No","467","0","81863","354","82684","0.02"
"2025-08-14T23:26:09.127Z","Included","auto","No","6540","0","396785","669","403994","0.11"
"2025-08-14T23:23:54.926Z","Included","auto","No","6811","0","513738","1631","522180","0.14"
"2025-08-14T23:22:31.824Z","Included","auto","No","12146","0","198435","940","211521","0.07"
"2025-08-14T23:21:33.916Z","Included","auto","No","1257","0","220989","812","223058","0.06"
"2025-08-14T23:19:25.184Z","Included","auto","No","1524","0","218542","586","220652","0.06"
"2025-08-14T23:17:28.056Z","Included","auto","No","1219","0","323646","803","325668","0.09"
"2025-08-14T23:15:57.547Z","Included","auto","No","2020","0","531042","1000","534062","0.14"
"2025-08-14T23:11:00.612Z","Included","auto","No","2304","0","415817","906","419027","0.11"
"2025-08-14T23:05:17.946Z","Included","auto","No","99401","0","3769","541","103711","0.10"
"2025-08-14T22:59:25.627Z","Included","auto","No","98818","0","2895760","4348","2998926","0.84"
"2025-08-14T22:25:33.282Z","Included","auto","No","27864","0","1088890","6476","1123230","0.33"
"2025-08-14T22:19:10.738Z","Included","auto","No","36358","0","885517","1956","923831","0.27"
"2025-08-14T22:14:08.526Z","Included","auto","No","449","0","75946","424","76819","0.02"
"2025-08-14T22:13:18.527Z","Included","auto","No","342","0","75605","319","76266","0.02"
"2025-08-14T22:11:06.751Z","Included","auto","No","2629","0","115346","74","118049","0.03"
"2025-08-14T22:08:49.886Z","Included","auto","No","1058","0","300326","425","301809","0.08"
"2025-08-14T22:04:36.758Z","Included","auto","No","71056","44885","298800","5051","419792","0.17"
"2025-08-14T21:58:23.302Z","Included","claude-4-sonnet-thinking","No","13785","315","2115259","6889","2136248","0.79"
"2025-08-14T21:56:07.901Z","Included","claude-4-sonnet-thinking","No","3350","150","265351","829","269680","0.11"
"2025-08-14T21:55:10.201Z","Errored, Not Charged","claude-4-sonnet-thinking","No","125328","222","272339","914","398803","0.57"
"2025-08-14T21:51:00.812Z","Included","claude-4-sonnet-thinking","No","17743","304","2024150","6369","2048566","0.77"
"2025-08-14T21:44:29.981Z","Included","claude-4-sonnet-thinking","No","122055","263","708285","4552","835155","0.74"
"2025-08-14T21:37:47.456Z","Included","claude-4-sonnet-thinking","No","721","192","113676","525","115114","0.05"
"2025-08-14T21:36:04.601Z","Errored, Not Charged","claude-4-sonnet-thinking","No","978","187","112698","277","114140","0.04"
"2025-08-14T21:34:49.389Z","Errored, Not Charged","claude-4-sonnet-thinking","No","104641","233","8057","335","113266","0.40"
"2025-08-14T21:31:06.093Z","Errored, Not Charged","claude-4-sonnet-thinking","No","13795","262","1185387","4387","1203831","0.47"
"2025-08-14T21:28:05.079Z","Errored, Not Charged","claude-4-sonnet-thinking","No","96291","240","414950","3146","514627","0.53"
"2025-08-14T21:22:34.750Z","Included","claude-4-sonnet-thinking","No","92233","621","1411753","7834","1512441","0.89"
"2025-08-14T21:13:32.460Z","Errored, Not Charged","claude-4-sonnet-thinking","No","18547","2746","3139526","8897","3169716","1.15"
"2025-08-14T21:08:54.860Z","Included","claude-4-sonnet-thinking","No","4575","175","777335","2172","784257","0.28"
"2025-08-14T21:07:06.877Z","Included","claude-4-sonnet-thinking","No","1485","163","306170","336","308154","0.10"
"2025-08-14T21:05:30.428Z","Included","claude-4-sonnet-thinking","No","145334","419","160663","847","307263","0.61"
"2025-08-14T21:00:16.662Z","Included","claude-4-sonnet-thinking","No","154391","105","2499083","8944","2662523","1.46"
"2025-08-14T20:57:05.725Z","Included","auto","No","1155","0","241153","400","242708","0.06"
"2025-08-14T20:52:29.328Z","Included","auto","No","24431","0","981430","2072","1007933","0.28"
"2025-08-14T20:50:24.101Z","Included","auto","No","1554","0","145574","183","147311","0.04"
"2025-08-14T20:49:22.926Z","Included","auto","No","4023","0","428820","440","433283","0.11"
"2025-08-14T20:46:38.011Z","Included","auto","No","32045","107026","624217","6485","769773","0.23"
"2025-08-14T20:45:41.418Z","Included","auto","No","7177","0","69812","335","77324","0.03"
"2025-08-14T20:45:04.441Z","Included","auto","No","1890","0","205681","415","207986","0.05"
"2025-08-14T20:44:17.656Z","Included","auto","No","413","0","67513","256","68182","0.02"
"2025-08-14T20:42:46.266Z","Included","auto","No","443","0","67071","89","67603","0.02"
"2025-08-14T20:41:59.926Z","Included","auto","No","1340","0","265654","346","267340","0.07"
"2025-08-14T20:41:09.167Z","Included","auto","No","1219","0","129719","439","131377","0.04"
"2025-08-14T20:39:58.610Z","Included","auto","No","1450","0","127131","216","128797","0.03"
"2025-08-14T20:38:25.498Z","Included","auto","No","15810","97496","247596","4678","365580","0.11"
"2025-08-14T20:37:04.653Z","Included","auto","No","1513","0","283246","277","285036","0.07"
"2025-08-14T20:36:05.141Z","Included","auto","No","52120","0","3986","223","56329","0.05"
"2025-08-14T20:34:56.903Z","Included","auto","No","50736","0","58105","112","108953","0.07"
"2025-08-14T20:33:15.766Z","Errored, Not Charged","auto","No","16175","0","318879","648","335702","0.10"
"2025-08-14T20:31:22.413Z","Included","auto","No","4205","0","327381","3152","334738","0.10"
"2025-08-14T20:30:23.333Z","Included","auto","No","54374","0","54618","370","109362","0.07"
"2025-08-14T20:24:51.812Z","Errored, Not Charged","auto","No","77134","0","1422257","9845","1509236","0.47"
"2025-08-14T20:22:53.591Z","Included","auto","No","7703","0","532056","3764","543523","0.16"
"2025-08-14T20:21:23.612Z","Included","auto","No","1777","0","102687","615","105079","0.03"
"2025-08-14T20:19:55.874Z","Included","auto","No","16735","0","594710","1442","612887","0.17"
"2025-08-14T20:16:34.548Z","Included","auto","No","21121","0","446008","9600","476729","0.17"
"2025-08-14T20:14:26.854Z","Included","auto","No","7419","0","58568","1452","67439","0.03"
"2025-08-14T20:10:05.264Z","Included","claude-4-sonnet-thinking","No","70773","20","64778","2379","137950","0.32"
"2025-08-14T20:08:02.843Z","Included","auto","No","489","0","98057","1476","100022","0.03"
"2025-08-14T20:03:28.347Z","Included","auto","No","528","0","97530","360","98418","0.03"
"2025-08-14T20:02:42.719Z","Included","auto","No","6103","0","91428","397","97928","0.03"
"2025-08-14T20:01:33.985Z","Errored, Not Charged","auto","No","2668","0","443107","1171","446946","0.12"
"2025-08-14T20:00:30.107Z","Included","auto","No","84353","0","352142","282","436777","0.17"
"2025-08-14T19:01:04.053Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-14T19:00:55.667Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-14T18:59:54.752Z","Included","auto","No","6873","0","423734","418","431025","0.11"
"2025-08-14T18:58:03.467Z","Included","auto","No","3127","0","468613","1421","473161","0.13"
"2025-08-14T18:58:00.462Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-14T18:57:14.829Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-14T18:55:40.926Z","Included","auto","No","8844","0","433125","1470","443439","0.12"
"2025-08-14T18:55:10.115Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-14T18:53:54.692Z","Included","auto","No","9097","0","600360","1170","610627","0.16"
"2025-08-14T18:52:25.403Z","Included","auto","No","6823","0","179253","382","186458","0.05"
"2025-08-14T18:51:35.867Z","Included","auto","No","7241","0","164884","514","172639","0.05"
"2025-08-14T18:50:40.200Z","Included","auto","No","7075","0","150613","455","158143","0.05"
"2025-08-14T18:48:57.051Z","Included","auto","No","1226","0","142654","323","144203","0.04"
"2025-08-14T18:48:15.267Z","Included","auto","No","5008","0","338326","453","343787","0.09"
"2025-08-14T18:47:07.421Z","Included","auto","No","7157","24767","124483","4307","160714","0.06"
"2025-08-14T18:45:37.835Z","Included","auto","No","2564","0","439054","906","442524","0.12"
"2025-08-14T18:44:27.894Z","Included","auto","No","2120","0","536139","888","539147","0.14"
"2025-08-14T18:43:43.467Z","Errored, Not Charged","auto","No","1625","0","315807","274","317706","0.08"
"2025-08-14T18:40:56.684Z","Included","auto","No","13082","0","807395","4478","824955","0.23"
"2025-08-14T18:37:02.486Z","Included","auto","No","14378","0","787720","4591","806689","0.23"
"2025-08-14T18:32:35.448Z","Included","auto","No","32606","0","1626859","8690","1668155","0.47"
"2025-08-14T18:31:37.377Z","Included","auto","No","48496","0","162326","151","210973","0.09"
"2025-08-14T18:12:32.655Z","Included","auto","No","34372","0","2320726","15711","2370809","0.68"
"2025-08-14T18:08:15.337Z","Included","auto","No","96667","0","102025","998","199690","0.13"
"2025-08-14T18:06:06.673Z","Included","auto","No","1686","0","96427","290","98403","0.03"
"2025-08-14T18:03:47.480Z","Included","auto","No","5748","0","930353","1341","937442","0.24"
"2025-08-14T18:02:30.552Z","Included","auto","No","4945","0","701722","1163","707830","0.19"
"2025-08-14T17:59:27.108Z","Included","auto","No","9201","0","817869","2105","829175","0.22"
"2025-08-14T17:56:01.192Z","Errored, Not Charged","auto","No","30815","0","1481682","4585","1517082","0.42"
"2025-08-14T17:52:16.544Z","Included","auto","No","47878","0","1823793","1806","1873477","0.51"
"2025-08-14T17:43:06.565Z","Included","auto","No","4338","0","194018","1049","199405","0.06"
"2025-08-14T17:41:22.379Z","Included","auto","No","11441","0","533258","3014","547713","0.16"
"2025-08-14T17:38:13.978Z","Included","auto","No","9097","0","150806","6808","166711","0.07"
"2025-08-14T17:37:34.992Z","Included","auto","No","2222","0","220572","588","223382","0.06"
"2025-08-14T17:36:18.613Z","Included","auto","No","5514","0","427494","626","433634","0.11"
"2025-08-14T17:35:21.418Z","Included","auto","No","8605","0","326939","510","336054","0.09"
"2025-08-14T17:33:24.123Z","Included","auto","No","0","1118","0","17","1135","0.002"
"2025-08-14T17:33:12.282Z","Included","auto","No","0","1113","0","17","1130","0.002"
"2025-08-14T17:32:53.240Z","Included","auto","No","0","1096","0","17","1113","0.002"
"2025-08-14T17:31:09.863Z","Included","auto","No","4661","0","117823","257","122741","0.04"
"2025-08-14T17:29:36.871Z","Included","auto","No","3286","0","178706","585","182577","0.05"
"2025-08-14T17:28:44.273Z","Included","auto","No","0","1121","0","26","1147","0.002"
"2025-08-14T17:24:07.148Z","Included","auto","No","70755","0","1628761","5387","1704903","0.50"
"2025-08-14T17:23:51.647Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-14T17:22:21.582Z","Included","auto","No","97121","0","2021063","13484","2131668","0.66"
"2025-08-14T17:09:25.014Z","Included","auto","No","62785","261302","3244775","56594","3625456","1.12"
"2025-08-14T17:06:24.499Z","Included","auto","No","105321","0","932290","7247","1044858","0.37"
"2025-08-14T17:03:38.263Z","Included","auto","No","0","1237","0","18","1255","0.003"
"2025-08-14T17:03:02.801Z","Included","auto","No","0","1291","0","34","1325","0.003"
"2025-08-14T17:02:54.785Z","Included","auto","No","0","1361","0","42","1403","0.003"
"2025-08-14T17:02:44.922Z","Included","auto","No","0","1263","0","43","1306","0.003"
"2025-08-14T17:02:31.444Z","Included","auto","No","0","1447","0","42","1489","0.003"
"2025-08-14T17:02:21.491Z","Included","auto","No","0","1462","0","44","1506","0.003"
"2025-08-14T17:01:19.544Z","Included","auto","No","11474","0","173301","4946","189721","0.07"
"2025-08-14T16:58:04.274Z","Included","auto","No","29011","0","788936","1700","819647","0.23"
"2025-08-14T16:55:52.702Z","Included","auto","No","61692","0","2265869","20242","2347803","0.71"
"2025-08-14T16:47:54.382Z","Included","auto","No","14386","0","3186240","3764","3204390","0.83"
"2025-08-14T16:46:17.025Z","Included","auto","No","16018","0","82974","594","99586","0.04"
"2025-08-14T16:42:08.516Z","Included","auto","No","45457","0","1372648","4551","1422656","0.41"
"2025-08-14T16:41:35.140Z","Included","auto","No","55552","34421","1151252","30774","1271999","0.47"
"2025-08-14T16:23:01.459Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-08-14T16:19:41.553Z","Errored, Not Charged","auto","No","55864","0","54623","0","110487","0.07"
"2025-08-14T16:17:52.850Z","Included","auto","No","86714","0","1629695","28348","1744757","0.61"
"2025-08-14T16:15:55.986Z","Included","auto","No","99659","38057","216911","4540","359167","0.18"
"2025-08-14T16:14:49.766Z","Included","auto","No","0","831","0","21","852","0.002"
"2025-08-14T16:12:31.496Z","Included","auto","No","0","1126","0","62","1188","0.003"
"2025-08-14T16:12:05.661Z","Included","auto","No","0","1219","0","33","1252","0.003"
"2025-08-14T16:11:48.022Z","Included","auto","No","0","1195","0","33","1228","0.003"
"2025-08-14T16:11:04.892Z","Included","auto","No","0","1118","0","17","1135","0.002"
"2025-08-14T16:08:21.709Z","Included","auto","No","105250","0","3500","1999","110749","0.11"
"2025-08-14T13:54:34.865Z","Errored, Not Charged","auto","No","25071","0","1137128","6253","1168452","0.33"
"2025-08-14T13:52:13.816Z","Included","auto","No","94377","0","793307","45326","933010","0.47"
"2025-08-14T13:47:53.498Z","Included","auto","No","8607","0","153334","3476","165417","0.06"
